Category,Description,Level,Material,MSRP,Name,Picture URL,Product Family
Commuter,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",Beginner,Aluminum,2500,FUSE X1,https://s3-us-west-1.amazonaws.com/sfdc-demo/ebikes/fusex1.jpg,Fuse
Commuter,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",Beginner,Aluminum,2600,FUSE X2,https://s3-us-west-1.amazonaws.com/sfdc-demo/ebikes/fusex2.jpg,Fuse
Commuter,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",Beginner,Aluminum,2700,FUSE X3,https://s3-us-west-1.amazonaws.com/sfdc-demo/ebikes/fusex3.jpg,Fuse
Commuter,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",Beginner,Aluminum,2800,FUSE X4,https://s3-us-west-1.amazonaws.com/sfdc-demo/ebikes/fusex4.jpg,Fuse
Mountain,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",Racer,Carbon,7000,DYNAMO X1,https://s3-us-west-1.amazonaws.com/sfdc-demo/ebikes/dynamox1.jpg,Dynamo
Mountain,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",Racer,Carbon,7200,DYNAMO X2,https://s3-us-west-1.amazonaws.com/sfdc-demo/ebikes/dynamox2.jpg,Dynamo
Mountain,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",Racer,Carbon,7400,DYNAMO X3,https://s3-us-west-1.amazonaws.com/sfdc-demo/ebikes/dynamox3.jpg,Dynamo
Mountain,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",Racer,Carbon,7800,DYNAMO X4,https://s3-us-west-1.amazonaws.com/sfdc-demo/ebikes/dynamox4.jpg,Dynamo
Mountain,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",Enthusiast,Aluminum,4000,ELECTRA X1,https://s3-us-west-1.amazonaws.com/sfdc-demo/ebikes/electrax1.jpg,Electra
Mountain,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",Enthusiast,Aluminum,4300,ELECTRA X2,https://s3-us-west-1.amazonaws.com/sfdc-demo/ebikes/electrax2.jpg,Electra
Mountain,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",Enthusiast,Aluminum,4600,ELECTRA X3,https://s3-us-west-1.amazonaws.com/sfdc-demo/ebikes/electrax3.jpg,Electra
Mountain,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",Enthusiast,Aluminum,4900,ELECTRA X4,https://s3-us-west-1.amazonaws.com/sfdc-demo/ebikes/electrax4.jpg,Electra
Commuter,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",Beginner,Aluminum,1200,VOLT X1,https://s3-us-west-1.amazonaws.com/sfdc-demo/ebikes/voltx1.jpg,Volt
Commuter,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",Beginner,Aluminum,1400,VOLT X2,https://s3-us-west-1.amazonaws.com/sfdc-demo/ebikes/voltx2.jpg,Volt
Commuter,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",Beginner,Aluminum,1800,VOLT X3,https://s3-us-west-1.amazonaws.com/sfdc-demo/ebikes/voltx3.jpg,Volt
Commuter,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",Beginner,Aluminum,1900,VOLT X4,https://s3-us-west-1.amazonaws.com/sfdc-demo/ebikes/voltx4.jpg,Volt
